,n_eff,Rhat,divergence,treedepth,energy,observed_engagement,y_0,final_predicted,Unnamed: 0.1,incident_name,start,end,event_name,Unnamed: 0,incident,count,duration,sample_loc,data_loc,lower_predicted,upper_predicted,included
186,True,True,True,True,True,186.0,0.0,True,459,tech:_FL_voter_info_leaked,1148,1174,tech:_FL_voter_info_leaked_event_1,361,tech: FL voter info leaked,1216,26,./output/posteriors/tech:_FL_voter_info_leaked_event_1_raw.p,./data/timeseries/aggregated/tech:_FL_voter_info_leaked_raw.csv,134.0,258.0,True
187,True,True,True,True,True,104.0,0.0,True,151,lost:_KY_dumped_ballots,5,31,lost:_KY_dumped_ballots_event_0,132,lost: KY dumped ballots,385,26,./output/posteriors/lost:_KY_dumped_ballots_event_0_raw.p,./data/timeseries/aggregated/lost:_KY_dumped_ballots_raw.csv,77.0,136.0,True
188,True,True,False,True,True,453.0,1.0,True,416,Statistics:_JW_Counties_Over_100%,527,553,Statistics:_JW_Counties_Over_100%_event_4,330,Statistics: JW Counties Over 100%,6905,26,./output/posteriors/Statistics:_JW_Counties_Over_100%_event_4_raw.p,./data/timeseries/aggregated/Statistics:_JW_Counties_Over_100%_raw.csv,310.0,662.0,False
189,True,True,True,True,True,287.0,0.0,True,124,intimidation:_PA_State_Constable,501,527,intimidation:_PA_State_Constable_event_0,108,intimidation: PA State Constable,489,26,./output/posteriors/intimidation:_PA_State_Constable_event_0_raw.p,./data/timeseries/aggregated/intimidation:_PA_State_Constable_raw.csv,231.0,351.0,True
190,True,True,False,True,True,28140.0,48.0,True,74,Digital_dumps:_Germany_Ambassador,178,205,Digital_dumps:_Germany_Ambassador_event_1,61,Digital dumps: Germany Ambassador,63544,27,./output/posteriors/Digital_dumps:_Germany_Ambassador_event_1_raw.p,./data/timeseries/aggregated/Digital_dumps:_Germany_Ambassador_raw.csv,19181.735,42474.72999999999,False
191,True,True,True,True,True,3340.0,2.0,True,404,Statistics:_Benford's_Law,250,277,Statistics:_Benford's_Law_event_0,325,Statistics: Benford's Law,78210,27,./output/posteriors/Statistics:_Benford's_Law_event_0_raw.p,./data/timeseries/aggregated/Statistics:_Benford's_Law_raw.csv,2455.89,4530.055,True
192,True,True,True,True,True,1277.0,5.0,True,146,lost:_CA_dumpster,2567,2594,lost:_CA_dumpster_event_1,124,lost: CA dumpster,68778,27,./output/posteriors/lost:_CA_dumpster_event_1_raw.p,./data/timeseries/aggregated/lost:_CA_dumpster_raw.csv,1069.945,1693.0549999999998,True
193,True,True,True,True,True,391.0,2.0,True,199,Other:_Ballot_Fraud_Poll_Watcher_Votes,46,73,Other:_Ballot_Fraud_Poll_Watcher_Votes_event_0,172,Other: Ballot Fraud Poll Watcher Votes,3771,27,./output/posteriors/Other:_Ballot_Fraud_Poll_Watcher_Votes_event_0_raw.p,./data/timeseries/aggregated/Other:_Ballot_Fraud_Poll_Watcher_Votes_raw.csv,271.945,519.0,True
194,True,True,True,True,True,82263.0,158.0,True,203,Other:_DeKalb_Rejected_Ballots,42,70,Other:_DeKalb_Rejected_Ballots_event_0,177,Other: DeKalb Rejected Ballots,286139,28,./output/posteriors/Other:_DeKalb_Rejected_Ballots_event_0_raw.p,./data/timeseries/aggregated/Other:_DeKalb_Rejected_Ballots_raw.csv,68109.615,102042.44,True
195,True,True,True,True,True,441.0,2.0,True,284,Physical_Mail_Fraud:_ACLU_Signatures,5656,5684,Physical_Mail_Fraud:_ACLU_Signatures_event_1,227,Physical Mail Fraud: ACLU Signatures,10201,28,./output/posteriors/Physical_Mail_Fraud:_ACLU_Signatures_event_1_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_ACLU_Signatures_raw.csv,344.0,608.0,True
